"","Season","Age","Tm","Lg","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","NAME"
"1","2018-19",20,"ATL","NBA","PG","81","81","30.9","6.5","15.5",".418","1.9","6.0",".324","4.6","9.6",".477",".480","4.2","5.1",".829","0.8","2.9","3.7","8.1","0.9","0.2","3.8","1.7","19.1","Young,T"
"2","2019-20",21,"ATL","NBA","PG","60","60","35.3","9.1","20.8",".437","3.4","9.5",".361","5.7","11.4",".501",".519","8.0","9.3",".860","0.5","3.7","4.3","9.3","1.1","0.1","4.8","1.7","29.6","Young,T"
"3","2020-21",22,"ATL","NBA","PG","63","63","33.7","7.7","17.7",".438","2.2","6.3",".343","5.6","11.3",".491",".499","7.7","8.7",".886","0.6","3.3","3.9","9.4","0.8","0.2","4.1","1.8","25.3","Young,T"
"4","2021-22",23,"ATL","NBA","PG","53","53","34.4","9.3","20.5",".456","3.0","7.8",".383","6.4","12.7",".501",".529","6.2","6.9",".898","0.6","3.2","3.9","9.3","1.0","0.1","4.1","1.6","27.8","Young,T"
"5","2018-19",20,"ATL","NBA","SG","75","59","27.3","3.7","8.8",".419","1.8","4.7",".385","1.9","4.1",".457",".522","0.5","0.7",".732","0.8","2.5","3.3","2.9","0.9","0.3","1.5","2.1","9.7","Huerter,K"
"6","2019-20",21,"ATL","NBA","SG","56","48","31.4","4.5","10.9",".413","2.3","6.0",".380","2.2","4.9",".453",".517","0.9","1.1",".828","0.6","3.4","4.1","3.8","0.9","0.5","1.6","2.5","12.2","Huerter,K"
"7","2020-21",22,"ATL","NBA","SG","69","49","30.8","4.6","10.6",".432","2.0","5.6",".363","2.6","5.0",".510",".528","0.7","0.9",".781","0.6","2.8","3.3","3.5","1.2","0.3","1.1","2.4","11.9","Huerter,K"
"8","2021-22",23,"ATL","NBA","SG","51","37","29.0","4.5","9.8",".462","1.9","5.1",".377","2.6","4.7",".554",".560","0.6","0.7",".811","0.4","2.7","3.2","2.8","0.6","0.4","1.3","2.3","11.6","Huerter,K"
"9","2019-20",22,"ATL","NBA","SF","63","62","32.0","4.4","10.8",".410","1.7","4.8",".355","2.7","6.0",".454",".489","1.7","2.3",".764","0.7","3.8","4.5","1.8","0.7","0.3","1.6","2.9","12.3","Hunter,D"
"10","2020-21",23,"ATL","NBA","SF","23","19","29.5","5.2","10.8",".484","1.3","4.1",".326","3.9","6.7",".582",".546","3.2","3.7",".859","0.7","4.0","4.8","1.9","0.8","0.5","1.3","2.6","15.0","Hunter,D"
"11","2021-22",24,"ATL","NBA","SF","30","29","29.1","4.8","10.8",".448","1.4","3.7",".382","3.4","7.1",".481",".512","2.0","2.7",".720","0.5","2.9","3.4","1.2","0.6","0.4","1.4","3.0","13","Hunter,D"
"12","2017-18",20,"ATL","NBA","PF","74","26","24.1","4.2","7.4",".576","0.2","0.6",".340","4.0","6.7",".598",".591","1.8","2.5",".715","2.4","4.9","7.3","1.3","0.6","1.1","1.4","2.9","10.5","Collins,J"
"13","2018-19",21,"ATL","NBA","PF","61","59","30.0","7.6","13.6",".560","0.9","2.6",".348","6.7","11.0",".609",".593","3.3","4.4",".763","3.6","6.2","9.8","2.0","0.4","0.6","2.0","3.3","19.5","Collins,J"
"14","2019-20",22,"ATL","NBA","PF","41","41","33.2","8.6","14.8",".583","1.4","3.6",".401","7.2","11.2",".642",".632","2.9","3.7",".800","2.8","7.3","10.1","1.5","0.8","1.6","1.8","3.4","21.6","Collins,J"
"15","2020-21",23,"ATL","NBA","PF","63","63","29.3","6.8","12.2",".556","1.3","3.3",".399","5.5","8.9",".615",".610","2.7","3.2",".833","1.9","5.5","7.4","1.2","0.5","1.0","1.3","3.1","17.6","Collins,J"
"16","2021-22",24,"ATL","NBA","PF","50","50","31.3","6.5","12.1",".537","1.2","3.2",".388","5.3","8.9",".591",".588","2.5","3.2",".794","1.8","6.1","7.9","1.9","0.6","1.1","1.1","3.1","16.8","Collins,J"
